" Date","AGN Open","AGN Low","AGN High","AGN Close","AGN Adj. Close"
07-23-2015,"298.58 ","296.63 ","299.48 ","314.95 ","297.47 "
07-22-2015,"297.51 ","296.29 ","299.21 ","315.35 ","297.84 "
07-21-2015,"300.11 ","295.58 ","301.35 ","317.00 ","299.40 "
07-20-2015,"299.31 ","298.76 ","301.57 ","317.75 ","300.11 "
07-17-2015,"299.25 ","295.48 ","299.36 ","316.21 ","298.66 "
07-16-2015,"302.36 ","297.99 ","304.12 ","317.37 ","299.75 "
07-15-2015,"303.76 ","300.16 ","304.54 ","320.13 ","302.36 "
07-14-2015,"300.56 ","298.92 ","304.17 ","321.13 ","303.30 "
07-13-2015,"297.47 ","297.24 ","300.78 ","318.35 ","300.68 "
07-10-2015,"289.09 ","288.86 ","295.69 ","312.13 ","294.80 "
07-09-2015,"286.18 ","285.12 ","288.85 ","304.10 ","287.22 "
07-08-2015,"288.01 ","282.29 ","288.12 ","299.67 ","283.03 "
07-07-2015,"290.51 ","285.11 ","291.61 ","307.00 ","289.96 "
07-06-2015,"287.28 ","287.15 ","291.71 ","306.70 ","289.67 "
07-02-2015,"292.03 ","288.08 ","292.59 ","307.51 ","290.44 "
07-01-2015,"289.83 ","287.50 ","293.26 ","306.91 ","289.87 "
06-30-2015,"284.56 ","282.21 ","287.66 ","303.46 ","286.61 "
06-29-2015,"286.00 ","281.60 ","288.90 ","299.25 ","282.64 "
06-26-2015,"293.02 ","287.25 ","293.26 ","306.60 ","289.58 "
06-25-2015,"292.08 ","290.88 ","294.68 ","309.15 ","291.99 "
06-24-2015,"294.66 ","291.40 ","297.22 ","308.66 ","291.53 "
06-23-2015,"291.09 ","290.97 ","295.47 ","312.32 ","294.98 "
06-22-2015,"288.07 ","285.26 ","290.46 ","307.25 ","290.19 "
06-19-2015,"285.23 ","284.59 ","288.03 ","302.37 ","285.58 "
06-18-2015,"283.14 ","282.61 ","287.89 ","302.47 ","285.68 "
06-17-2015,"282.87 ","279.75 ","284.67 ","298.79 ","282.20 "
06-16-2015,"281.51 ","280.92 ","284.20 ","298.02 ","281.48 "
06-15-2015,"281.35 ","279.51 ","285.22 ","301.35 ","284.62 "
06-12-2015,"284.55 ","281.32 ","284.82 ","298.98 ","282.38 "
06-11-2015,"285.46 ","283.65 ","286.29 ","301.92 ","285.16 "
06-10-2015,"282.15 ","279.59 ","285.11 ","301.29 ","284.56 "
06-09-2015,"281.35 ","278.36 ","282.10 ","296.87 ","280.39 "
06-08-2015,"286.12 ","281.49 ","286.43 ","298.66 ","282.08 "
06-05-2015,"286.57 ","284.34 ","288.92 ","302.30 ","285.52 "
06-04-2015,"289.21 ","284.66 ","291.13 ","303.38 ","286.54 "
06-03-2015,"289.88 ","286.92 ","290.34 ","306.42 ","289.41 "
06-02-2015,"290.79 ","288.69 ","292.70 ","305.71 ","288.74 "
06-01-2015,"292.79 ","288.57 ","293.92 ","309.16 ","292.00 "
05-29-2015,"296.29 ","289.34 ","296.74 ","306.81 ","289.78 "
05-28-2015,"291.34 ","291.29 ","297.51 ","313.08 ","295.70 "
05-27-2015,"283.55 ","283.22 ","289.99 ","306.79 ","289.76 "
05-26-2015,"284.29 ","282.56 ","285.76 ","300.07 ","283.41 "
05-22-2015,"283.84 ","283.34 ","286.85 ","301.35 ","284.62 "
05-21-2015,"281.61 ","279.72 ","285.02 ","301.22 ","284.50 "
05-20-2015,"282.83 ","280.54 ","282.95 ","297.50 ","280.98 "
05-19-2015,"279.01 ","278.44 ","283.23 ","298.43 ","281.86 "
05-18-2015,"280.68 ","278.62 ","280.98 ","295.76 ","279.34 "
05-15-2015,"280.95 ","279.37 ","282.38 ","296.60 ","280.13 "
05-14-2015,"281.60 ","278.44 ","281.75 ","297.46 ","280.95 "
05-13-2015,"281.63 ","278.43 ","282.82 ","295.69 ","279.28 "
05-12-2015,"283.35 ","279.72 ","284.68 ","296.79 ","280.31 "
05-11-2015,"288.80 ","283.71 ","288.80 ","301.74 ","284.99 "
05-08-2015,"275.68 ","274.01 ","279.47 ","292.82 ","276.56 "
05-07-2015,"268.23 ","267.77 ","274.69 ","287.30 ","271.35 "
05-06-2015,"271.11 ","264.21 ","271.11 ","283.31 ","267.58 "
05-05-2015,"274.33 ","269.18 ","274.84 ","285.75 ","269.89 "
05-04-2015,"274.08 ","273.04 ","276.25 ","289.81 ","273.72 "
05-01-2015,"269.34 ","268.88 ","273.91 ","289.74 ","273.66 "
04-30-2015,"271.32 ","264.59 ","273.52 ","282.86 ","267.16 "
04-29-2015,"270.45 ","269.18 ","273.73 ","288.23 ","272.23 "
04-28-2015,"266.25 ","264.51 ","274.05 ","288.10 ","272.11 "
04-27-2015,"280.47 ","269.07 ","280.49 ","285.19 ","269.36 "
04-24-2015,"281.78 ","278.83 ","282.17 ","295.41 ","279.01 "
04-23-2015,"277.83 ","277.79 ","282.60 ","298.36 ","281.80 "
04-22-2015,"278.26 ","275.78 ","279.60 ","295.22 ","278.83 "
04-21-2015,"280.41 ","277.77 ","282.90 ","294.53 ","278.18 "
04-20-2015,"281.24 ","277.40 ","282.34 ","295.37 ","278.97 "
04-17-2015,"277.96 ","275.54 ","280.56 ","297.05 ","280.56 "
04-16-2015,"280.98 ","278.77 ","282.33 ","296.45 ","279.99 "
04-15-2015,"282.71 ","281.46 ","285.01 ","298.92 ","282.33 "
04-14-2015,"278.06 ","277.28 ","282.19 ","298.16 ","281.61 "
04-13-2015,"278.29 ","277.74 ","281.27 ","294.06 ","277.74 "
04-10-2015,"277.19 ","273.41 ","278.92 ","294.79 ","278.43 "
04-09-2015,"279.50 ","275.53 ","281.32 ","292.27 ","276.05 "
04-08-2015,"280.21 ","275.65 ","283.83 ","294.78 ","278.42 "
04-07-2015,"281.83 ","278.87 ","283.17 ","295.56 ","279.15 "
04-06-2015,"280.31 ","279.99 ","283.23 ","297.84 ","281.31 "
04-02-2015,"281.38 ","278.91 ","283.22 ","298.37 ","281.81 "
04-01-2015,"282.87 ","276.56 ","283.13 ","296.43 ","279.97 "
03-31-2015,"286.67 ","281.10 ","287.88 ","297.62 ","281.10 "
03-30-2015,"290.73 ","287.22 ","290.73 ","304.76 ","287.84 "
03-27-2015,"284.21 ","283.95 ","289.17 ","303.56 ","286.71 "
